"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fnbp4",3.01066890348493e-09,0.750831423798473,0.33,0.285,9.03200671045478e-06
"Wtap",3.09112103451751e-09,0.910746583352064,0.303,0.223,9.27336310355253e-06
"Tbc1d17",3.16640548058769e-09,0.469795335641632,0.316,0.24,9.49921644176307e-06
"Commd4",3.26582669635709e-09,0.495603425557596,0.273,0.302,9.79748008907126e-06
"Sema4d",3.42654659986221e-09,-0.965761525238298,0.201,0.077,1.02796397995866e-05
"Mcrip1",3.50976979612229e-09,1.01959779090178,0.217,0.144,1.05293093883669e-05
"Ldb1",3.79730551231617e-09,-1.38043562038158,0.186,0.089,1.13919165369485e-05
"Slc5a1",4.07050726845518e-09,-1.96089875379033,0.373,0.371,1.22115218053655e-05
"Psmb9",4.38266139558758e-09,-0.527672853254216,0.246,0.111,1.31479841867628e-05
"Rfc3",4.40261521085037e-09,-0.81890552928689,0.098,0.104,1.32078456325511e-05
"Zfp180",5.11298267943493e-09,-0.340394516862435,0.129,0.121,1.53389480383048e-05
"Cdk4",5.1945601469839e-09,-2.36310809771737,0.143,0.064,1.55836804409517e-05
"Mtm1",5.30131435461473e-09,1.36070488133664,0.156,0.082,1.59039430638442e-05
"Eif3a",5.33134745756347e-09,1.44665191268488,0.271,0.235,1.59940423726904e-05
"Cluh",5.39799520795857e-09,0.890895991729908,0.127,0.225,1.61939856238757e-05
"Osmr",5.49638679185049e-09,-1.31377490379892,0.291,0.059,1.64891603755515e-05
"Rbm10",5.50881241910303e-09,0.296591240156629,0.252,0.178,1.65264372573091e-05
"Abhd2",5.82833928018841e-09,-1.2107109048481,0.309,0.332,1.74850178405652e-05
"Gstt3",6.02190872416824e-09,-1.5758339724304,0.295,0.116,1.80657261725047e-05
"Timm50",6.08323484798634e-09,0.550370902785061,0.08,0.153,1.8249704543959e-05
"Slc50a1",6.1106851902342e-09,1.13747292149071,0.191,0.268,1.83320555707026e-05
"Zfp954",6.13824895198759e-09,-0.974705969895295,0.129,0.106,1.84147468559628e-05
"Krt7",6.20770636097537e-09,-0.509381429299781,0.172,0.153,1.86231190829261e-05
"Anxa6",6.51516102817913e-09,-0.967164230309677,0.236,0.117,1.95454830845374e-05
"Creld1",7.88237581618364e-09,0.319046789303498,0.084,0.111,2.36471274485509e-05
"Slc7a5",8.10563009736909e-09,-3.49071960320498,0.102,0.042,2.43168902921073e-05
"Fas",8.16923589841842e-09,-0.591064573322353,0.355,0.104,2.45077076952552e-05
"Cebpb",8.30718119077713e-09,-0.717473188688809,0.375,0.317,2.49215435723314e-05
"Cdip1",8.32573858874382e-09,1.02307716498182,0.252,0.213,2.49772157662315e-05
"Babam1",8.69585626036021e-09,0.870955657946356,0.178,0.099,2.60875687810806e-05
"Snrpf",8.70555509393256e-09,0.758643891233278,0.148,0.163,2.61166652817977e-05
"Hdac2",8.74444716482139e-09,-1.35176830550302,0.217,0.149,2.62333414944642e-05
"Zc3h14",8.87202668195423e-09,-0.566524605937321,0.234,0.089,2.66160800458627e-05
"Fmr1",9.64417141862961e-09,0.541536305867004,0.123,0.133,2.89325142558888e-05
"Ano2",1.3814593927295e-08,-1.51771678168573,0.24,0.018,4.14437817818849e-05
"Llph-ps1",1.42622459881509e-08,-0.331401581874004,0.209,0.163,4.27867379644527e-05
"Chgb",1.4902818823658e-08,-0.444384045021608,0.213,0.153,4.47084564709739e-05
"Thrb",1.53005742541104e-08,0.358569817128909,0.115,0.06,4.59017227623312e-05
"Il6st",1.60390715161856e-08,-0.412527199389911,0.197,0.159,4.81172145485568e-05
"Rpl22l3",1.61271606808799e-08,0.749384000090535,0.164,0.233,4.83814820426398e-05
"Erap1",1.69598821201609e-08,-0.906958074097337,0.225,0.208,5.08796463604828e-05
"Drosha",1.74679427504022e-08,-0.923450947759481,0.324,0.067,5.24038282512066e-05
"Ugt2b35",1.75061561505409e-08,1.08139984212115,0.205,0.005,5.25184684516227e-05
"U2surp",1.8569264445874e-08,-0.539491617426903,0.23,0.065,5.5707793337622e-05
"Rplp1",1.95666879047152e-08,1.32422793745174,0.141,0.178,5.87000637141457e-05
"Pde2a",1.96949621747042e-08,-0.659616917729224,0.217,0.129,5.90848865241125e-05
"Serpinf1",2.03265499946186e-08,-0.667611347759856,0.34,0.008,6.09796499838559e-05
"Smc1a",2.08187815901961e-08,0.726144709147561,0.189,0.196,6.24563447705882e-05
"Bop1",2.12994188181026e-08,0.964287518239395,0.139,0.19,6.38982564543077e-05
"Il3ra",2.22207275208597e-08,-0.709788189613847,0.26,0.134,6.66621825625792e-05
"Ltn1",2.29307774440751e-08,-0.434795611122354,0.316,0.076,6.87923323322253e-05
"Tafazzin",2.33825316024525e-08,-0.657424008815724,0.143,0.18,7.01475948073576e-05
"Sst",2.34586310628205e-08,-1.20753493922357,0.229,0.072,7.03758931884614e-05
"Aebp1",2.5086868417177e-08,-2.20517444222615,0.166,0.042,7.52606052515311e-05
"Sfpq",2.54694554069013e-08,1.08320668203491,0.154,0.218,7.64083662207038e-05
