"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Man2b1",0.000183773623049862,0.832268215544491,0.619,0.216,0.551320869149587
"Golt1b",0.000189500550408949,-1.05820673955949,0.143,0.157,0.568501651226847
"Gpn1",0.000195394903491328,-4.47742674768714,0.952,0.275,0.586184710473983
"Vasn",0.000195394903491328,-1.82093668750565,0.643,0.039,0.586184710473983
"Yipf2",0.000195394903491328,-2.35903436961801,0.857,0.275,0.586184710473983
"Btbd2",0.000195394903491328,-4.70291553814812,0.786,0.275,0.586184710473983
"Fbxw2",0.000195394903491328,3.06160848341699,0.643,0.235,0.586184710473983
"Parp6",0.000195394903491328,-7.3009980586501,0.452,0.275,0.586184710473983
"C8h11orf54",0.00020146121540794,-0.356860573805385,0.048,0.196,0.60438364622382
"Pias4",0.00020146121540794,1.85459665915006,0.214,0.255,0.60438364622382
"Twsg1",0.00020146121540794,-0.312523702344797,0.143,0.137,0.60438364622382
"Osgep",0.000207704130721211,-1.71027678149996,1,0.294,0.623112392163634
"Pdss2",0.000214128407850578,1.81064736288273,0.714,0.294,0.642385223551733
"Mrto4",0.000214128407850578,0.943763954364762,0.262,0.471,0.642385223551733
"Wdr83",0.000214128407850578,2.92144253695281,0.119,0.039,0.642385223551733
"Twnk",0.000214128407850578,1.36866780312789,0.119,0.196,0.642385223551733
"Cnot3",0.000220738921520509,-2.49995473518094,0.881,0.294,0.662216764561526
"Mtif2",0.000234538753894669,2.53084185716201,0.333,0.216,0.703616261684008
"Cox10",0.000256764112225408,1.91745618186698,0.524,0.216,0.770292336676224
"Psme3ip1",0.000256764112225408,3.73922184224776,0.571,0.333,0.770292336676224
"Fhod1",0.000256764112225408,3.0164537449722,0.333,0.294,0.770292336676224
"Rap1gap",0.000264587238754476,-2.43055762968224,0.976,0.294,0.793761716263429
"Ly6e",0.000264601246822425,-3.28678899161229,0.857,0.235,0.793803740467276
"Rpl27",0.000264601246822425,-2.45398255121157,0.714,0.275,0.793803740467276
"Ankrd49",0.000264601246822425,-1.62123352842665,0.643,0.275,0.793803740467276
"Phldb1",0.000264601246822425,-2.02998315809527,0.143,0.255,0.793803740467276
"Akr1c13",0.000272662212358296,1.46338780238479,0.095,0.235,0.817986637074888
"Mrpl16",0.000280952907388795,2.35709625279866,0.595,0.294,0.842858722166384
"Prpsap2",0.000280952907388795,-2.06712467655534,0.548,0.275,0.842858722166384
"Ppp6c",0.000280952907388795,3.31880120500805,0.119,0.275,0.842858722166384
"Rmi1",0.000280952907388795,-3.00882524243549,0.095,0.118,0.842858722166384
"Med27",0.000289479370800462,1.08824927832799,0.738,0.294,0.868438112401384
"Vps33b",0.000289479370800462,4.02433971402941,0.119,0.216,0.868438112401384
"Coro1a",0.000289479370800462,-0.70346321939674,0.143,0.216,0.868438112401384
"Hdac2",0.000289479370800462,2.06608905012147,0.333,0.314,0.868438112401384
"Rchy1",0.000298247784710546,3.87959895899121,0.69,0.255,0.894743354131639
"Rpp25l",0.000298247784710546,0.896348770940331,0.595,0.235,0.894743354131639
"Zc3h18",0.000298247784710546,1.75757694763481,0.143,0.275,0.894743354131639
"Chrdl2",0.000307264477414804,-1.38788823742769,0.738,0.039,0.921793432244413
"Plaa",0.000307264477414804,0.919770337192947,0.929,0.294,0.921793432244413
"Dnajb1",0.000316535926383588,-1.67874629277599,0.31,0.255,0.949607779150763
"Ctc1",0.000326068761306721,0.749056798476732,0.595,0.275,0.978206283920163
"Rhoj",0.000335869767187596,-1.27044165547201,0.881,0.294,1
"Rbm17",0.000335869767187596,-1.62584012127861,0.833,0.294,1
"Lamb2",0.000335869767187596,0.286533547540802,0.738,0.275,1
"Hmbox1",0.000335869767187596,3.33608786439248,0.476,0.294,1
"Zfp386",0.000335869767187596,-0.967476480408083,0.095,0.275,1
"Col6a3",0.000335869767187596,1.55724166928139,0.238,0.235,1
"Pigu",0.000345945887486959,2.82751735090302,0.857,0.294,1
"Tnc",0.000345945887486959,1.75581969403917,0.357,0.216,1
"Fam3d",0.000356304227316836,0.933252963885311,0.643,0.294,1
"C8h15orf39",0.000356304227316836,-0.905810843439955,0.571,0.255,1
"Cars1",0.000356304227316836,1.43475979735056,0.095,0.176,1
"Ppia",0.000366952056685024,0.768581413158247,0.833,0.216,1
"Capn15",0.000377896813790613,-0.843252828886088,0.429,0.275,1
"Cmpk2",0.000377896813790613,1.3706712179625,0.095,0.176,1
"Ube2n",0.000389146108370946,-0.387592007364806,0.881,0.294,1
"Egfl7",0.000389146108370946,0.99670215254497,0.857,0.294,1
"Hmgcr",0.000389146108370946,-4.55451212747033,0.595,0.275,1
"Snx5",0.000389146108370946,0.998869479007527,0.19,0.412,1
"Vegfa",0.000389146108370946,1.81979258788715,0.071,0.235,1
"Hook1",0.000389146108370946,0.390642433859207,0.262,0.294,1
"Bdh1",0.000400707725100461,1.81577165470041,0.976,0.314,1
"Nfyb",0.000400707725100461,-1.04353691008131,0.762,0.255,1
"Pygo2",0.000400707725100461,3.11144091640119,0.167,0.235,1
"Fkbp3",0.000412589627041811,-1.03986283156191,0.833,0.294,1
"Ext2",0.000412589627041811,0.324450316890619,0.81,0.294,1
"Tmt1a",0.000412589627041811,-0.367750260526638,0.738,0.275,1
"Gfm1",0.000412589627041811,-0.5002642732166,0.429,0.294,1
"Nelfcd",0.000412589627041811,0.294859140970246,0.19,0.294,1
"Uaca",0.000424799959149707,1.23986983873472,0.714,0.255,1
"Tpp2",0.000437347051827842,0.70296599641049,0.929,0.294,1
"Miip",0.000437347051827842,0.875825800567815,0.81,0.314,1
"Fyttd1",0.000437347051827842,1.96479738152218,0.214,0.294,1
"Iqcb1",0.000450239424539332,-0.622630798540634,0.5,0.02,1
"Zfp330",0.000450239424539332,-0.324070694399349,0.762,0.294,1
"Amacr",0.000450239424539332,1.45422993587825,0.548,0.275,1
"Mocs1",0.000450239424539332,1.098796085098,0.429,0.294,1
"Knop1",0.000463463077793208,-2.169122263365,1,0.294,1
"Snu13",0.000463485789471043,-2.58496523948168,1,0.294,1
"Lyar",0.000463485789471043,-1.10367413379064,0.929,0.314,1
"Aldh1a7",0.000463485789471043,0.370836718833361,0.048,0.216,1
"Dhx16",0.000463485789471043,3.96889992493044,0.238,0.314,1
"Rae1",0.000477095055252169,-0.330990716154457,0.143,0.275,1
"Ubd",0.000477095055252169,1.20506317045802,0.048,0.118,1
"Cep131",0.000490980877231494,-4.09664242064971,0.905,0.294,1
"Ywhag",0.000491076330727464,-0.5546038518014,0.905,0.294,1
"Zfp180",0.000491076330727464,-0.327097992088827,0.214,0.235,1
"Pstpip1",0.000505438928785443,0.454487261220551,0.048,0.255,1
"Sfpq",0.000505438928785443,1.20925622160723,0.5,0.314,1
"Mrpl23",0.000520192370241943,-5.28063552764676,0.429,0.275,1
"Farp2",0.000520192370241943,3.53083239395779,0.143,0.137,1
"Stoml2",0.000550910929941813,0.631474952550755,0.262,0.275,1
"Pwp2",0.000566896165186857,0.464716892747855,0.952,0.333,1
"Bin2",0.000566896165186857,-1.37083168699984,0.524,0.196,1
"Ppil3",0.000583312485993505,-1.01570630378411,0.881,0.294,1
"Cdca4",0.000600170513027404,0.704919693558878,0.929,0.314,1
"Cbx3",0.000635255334763871,0.493841432811453,0.952,0.314,1
"Ss18",0.000653504550019031,1.71575484867845,0.738,0.314,1
"Antkmt",0.000653504550019031,2.42284126907029,0.143,0.294,1
"Rad9a",0.000653504550019031,1.83060985719386,0.167,0.176,1
"Serpina3a.1",0.000672209130592955,-5.57122473838052,1,0.294,1
"Elk1",0.000672209130592955,-1.53037979071963,1,0.314,1
"C5h9orf152",0.000672240321339517,-4.38978594300976,1,0.294,1
"Ing2",0.000672240321339517,1.08135305262963,0.262,0.255,1
"Fam118b",0.000691474474811388,2.68911581666084,0.119,0.275,1
"Zbtb17",0.000691474474811388,-2.44426451609455,0.357,0.275,1
"Carhsp1",0.000711219090907829,0.316117624522103,0.667,0.314,1
"Slmap",0.000711219090907829,0.606548969982075,0.095,0.275,1
"Erap1",0.000711219090907829,2.24272170270951,0.119,0.275,1
"Fam107b",0.000731486509059689,-0.872492608211659,0.476,0.275,1
"Elp2",0.000731486509059689,2.02251894018021,0.071,0.196,1
"Rpl17-ps17",0.000752289332284788,0.296047660122203,0.905,0.294,1
"Ift46",0.000752289332284788,0.897068024452409,0.476,0.255,1
"Ints3",0.000752289332284788,2.6471865164527,0.19,0.255,1
"Serpinh1",0.00077364043187612,-0.387531868755464,0.929,0.294,1
"Sf3b3",0.00077364043187612,-1.73746125080467,0.214,0.373,1
"Tsc22d1",0.00077364043187612,-1.79679173800728,0.143,0.275,1
"Cog8",0.00077364043187612,2.21820612138316,0.238,0.333,1
"Cdt1",0.000795409054640936,-2.44106279290598,1,0.314,1
"Brf1",0.00079555295214912,0.48578605606898,0.19,0.137,1
"Tspo",0.000818040315248112,0.275597496192268,0.857,0.294,1
"Col16a1",0.000818040315248112,0.328714208759764,0.167,0.078,1
"Pias2",0.000818040315248112,2.79086820759885,0.119,0.118,1
"Pus7",0.000841116226012022,-2.85040913783859,0.667,0.176,1
"Wnk1",0.000864794676899492,0.283266537058025,0.095,0.294,1
"Mgat4a",0.000864794676899492,3.44701170314922,0.19,0.333,1
"Pttg1",0.000889089952973413,1.86990892109697,0.524,0.353,1
"Meaf6",0.000889089952973413,0.543107296044237,0.357,0.294,1
"Tmem106c",0.000914016636944967,-0.669874327205076,0.238,0.059,1
"Bysl",0.000939589614277175,-1.19451522839497,1,0.314,1
"Fn1",0.000939589614277175,-0.840568469891926,0.976,0.314,1
"Cct3",0.000939589614277175,0.732469864601524,0.929,0.314,1
"Thoc5",0.000939589614277175,1.82314652485832,0.762,0.294,1
"LOC103694242",0.000939589614277175,-1.91451102907235,0.595,0.333,1
"Cast",0.000939589614277175,1.85797218564476,0.048,0.196,1
"Ash2l",0.000939589614277175,3.11182307257612,0.19,0.314,1
"Rassf4",0.000992735535672885,3.20383532625077,0.881,0.314,1
"Smc3",0.000992735535672885,-0.963323504061134,0.762,0.314,1
"Psmb9",0.000992735535672885,2.36340543083484,0.071,0.196,1
"Med21",0.000992735535672885,-1.84749273968572,0.31,0.255,1
"Dennd2d",0.000992735535672885,1.36012708859095,0.143,0.196,1
"Psat1",0.00102033981118695,-1.35561479870999,0.952,0.314,1
"Asph",0.00102033981118695,0.944472587520238,0.119,0.255,1
"Esrp1",0.00102033981118695,3.91199804623892,0.143,0.275,1
"Smarcc1",0.00107769174072932,-0.463390665253619,0.976,0.333,1
"Prep",0.00107769174072932,1.32441674875742,0.905,0.333,1
"Fnbp4",0.00107769174072932,-1.22490694420293,0.286,0.255,1
"Trappc3l",0.00107769174072932,2.18078222285088,0.167,0.157,1
"Ccl11",0.00110699747400053,-2.8459997378286,1,0.314,1
"Nup62",0.00110747268509601,0.759780621832053,0.905,0.314,1
"Nr1d1",0.00110747268509601,1.13767612861471,0.048,0.294,1
"Mepce",0.00110747268509601,0.838354665773787,0.357,0.216,1
"Git2",0.00110747268509601,1.91021802712579,0.381,0.294,1
"Ppil2",0.00110747268509601,1.88512447068388,0.286,0.294,1
"Gm2a",0.00113801303930786,-2.61556600163721,0.929,0.314,1
"Dus1l",0.00113801303930786,-0.470571709058994,0.524,0.314,1
"Rps13.1",0.00116933030170575,-1.21095177985456,0.095,0.196,1
"Alms1",0.00120144232198684,-5.23147786366942,0.976,0.294,1
"Mafg",0.00120144232198684,1.80793477344863,0.167,0.235,1
"Lrrc28",0.00120144232198684,2.69263013268757,0.095,0.118,1
"Tbc1d10a",0.00120144232198684,2.29574204978147,0.095,0.118,1
"Cxxc5",0.00123436730690018,1.28953232879096,1,0.353,1
"Fbxl14",0.00123436730690018,1.13504041111209,0.143,0.235,1
"Ppp2r2a",0.00126812382600049,1.28818568082316,0.095,0.275,1
"Deaf1",0.00133820759393894,0.87714479380146,0.119,0.294,1
"Zfp260",0.00137457384851127,0.697716468765835,0.738,0.314,1
"Frat1",0.00137457384851127,0.399746838834655,0.643,0.255,1
"Ncor1",0.00137457384851127,-0.834708104031778,0.071,0.235,1
"Sh2d6",0.00137457384851127,-0.636851764071582,0.119,0.118,1
"Thtpa",0.00141184966065058,1.88688542801271,0.857,0.275,1
"Ctsl",0.00141184966065058,-2.69179654818572,0.881,0.314,1
"Eloc",0.00141184966065058,0.253538163191362,0.19,0.235,1
"Kansl3",0.00145005550227049,-2.58191267449769,0.452,0.314,1
"Pikfyve",0.00145005550227049,1.66696643721173,0.143,0.118,1
"Rpl22-ps2",0.00148921224382238,-1.35704387505244,0.714,0.314,1
"Srgn",0.00148921224382238,4.60511048203618,0.238,0.353,1
"Alg3",0.00152934116044883,1.33942340628819,0.81,0.314,1
"A3galt2",0.00152934116044883,1.09243910756495,0.048,0.314,1
"Isyna1",0.00157046393819263,1.51797434735717,0.929,0.314,1
"Tpcn1",0.00157046393819263,-1.59609063049385,0.786,0.314,1
"Metap1",0.00157046393819263,3.72855569264184,0.286,0.333,1
"Hba-a2",0.00161260268026072,-0.776475350557175,0.881,0.333,1
"Ints10",0.00161260268026072,1.61691572263307,0.31,0.216,1
"Il3ra",0.00161260268026072,1.75603168097342,0.167,0.235,1
"Aldh1a3",0.00161260268026072,-0.443462273175357,0.333,0.294,1
"Map4k3",0.00165577991334264,0.651692124105611,0.095,0.294,1
"Dgcr2",0.00170001859398286,-2.09258327721598,0.119,0.275,1
"Akr1c19",0.00170001859398286,0.743266726203543,0.238,0.294,1
"Luc7l2",0.00170001859398286,1.43094856569901,0.405,0.373,1
"Rps10",0.00174527272879764,-0.530811790225195,0.381,0.882,1
"Hdac6",0.00174534211500642,-1.65535342598901,0.381,0.118,1
"B4galnt4",0.00174534211500642,-0.625617048025082,0.548,0.314,1
"Cmc2",0.00174534211500642,1.66699699597926,0.286,0.333,1
"Pdcd11",0.00179177431199723,0.523919104995442,0.952,0.333,1
"Pla2g12a",0.00179177431199723,0.267453426713099,0.952,0.333,1
"C10h5orf15",0.00179177431199723,-2.68656234917725,0.905,0.314,1
"Ap2a1",0.00179177431199723,0.98104753402241,0.81,0.333,1
"Rps12l8",0.00179177431199723,-0.328518594616699,0.714,0.333,1
"Cstf1",0.00179177431199723,-0.431664839142893,0.381,0.314,1
"Pkn1",0.00183933946982851,4.43964658378532,0.286,0.392,1
"Auh",0.00183933946982851,-2.11395485738525,0.31,0.294,1
